STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,AWND,AWND_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,THIC,THIC_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV01,WV01_ATTRIBUTES,WV03,WV03_ATTRIBUTES,WV20,WV20_ATTRIBUTES
USW00014765,"PROVIDENCE, RI US",41.72252,-71.43248,15.4,12/31/2015,,,,,8.05,",,W",,,,,,,0.21,",,W,2400",,,0,",,W,",0,",,W,",39,"H,,S",,,50,",,W",35,",,W",,,,,310,",,W",330,",,W",,,,,,,18.1,",,W",25.1,",,W",,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",41.72252,-71.43248,15.4,12/30/2015,,,,,6.93,",,W",,,,,,,0.01,",,W,2400",,,0,",,W,",0,",,W,",30,"H,,S",,,35,",,W",27,",,W",,,,,20,",,W",20,",,W",,,,,,,15,",,W",19,",,W",,,1,",,W",,,,,,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",41.72252,-71.43248,15.4,12/29/2015,,,,,12.53,",,W",,,,,,,0.7,",,W,2400",,,0.6,",,W,",0,",,W,",33,"H,,S",,,40,",,W",28,",,W",,,,,350,",,W",10,",,W",,,,,,,18.1,",,W",23.9,",,W",,,1,",,W",,,,,1,",,W",,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",41.72252,-71.43248,15.4,12/28/2015,,,,,12.3,",,W",,,,,,,0,",,W,2400",,,0,",,W,",0,",,W,",40,"H,,S",,,44,",,W",30,",,W",,,,,10,",,W",30,",,W",,,,,,,23,",,W",30,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",41.72252,-71.43248,15.4,12/27/2015,,,,,9.17,",,W",,,,,,,0.2,",,W,2400",,,0,",,W,",0,",,W,",51,"H,,S",,,61,",,W",44,",,W",,,,,10,",,W",10,",,W",,,,,,,28,",,W",33.1,",,W",,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",41.72252,-71.43248,15.4,12/26/2015,,,,,9.4,",,W",,,,,,,0,"T,,W,2400",,,0,",,W,",0,",,W,",52,"H,,S",,,58,",,W",45,",,W",,,,,20,",,W",10,",,W",,,,,,,21,",,W",29.1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",41.72252,-71.43248,15.4,12/25/2015,,,,,2.91,",,W",,,,,,,0,",,W,2400",,,0,",,W,",0,",,W,",57,"H,,S",,,64,",,W",50,",,W",,,,,190,",,W",160,",,W",,,,,,,8.9,",,W",12.1,",,W",,,1,",,W",1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",41.72252,-71.43248,15.4,12/24/2015,,,,,10.29,",,W",,,,,,,0.45,",,W,2400",,,0,",,W,",0,",,W,",61,"H,,S",,,69,",,W",51,",,W",,,,,240,",,W",250,",,W",,,,,,,21.9,",,W",29.1,",,W",,,1,",,W",1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",41.72252,-71.43248,15.4,12/23/2015,,,,,4.03,",,W",,,,,,,1.32,",,W,2400",,,0,",,W,",0,",,W,",53,"H,,S",,,58,",,W",44,",,W",,,,,90,",,W",110,",,W",,,,,,,12.1,",,W",16.1,",,W",,,1,",,W",1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",41.72252,-71.43248,15.4,12/22/2015,,,,,8.5,",,W",,,,,,,0.2,",,W,2400",,,0,",,W,",0,",,W,",55,"H,,S",,,60,",,W",51,",,W",,,,,230,",,W",260,",,W",,,,,,,19.9,",,W",25.9,",,W",,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
