STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,AWND,AWND_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV01,WV01_ATTRIBUTES,WV03,WV03_ATTRIBUTES,WV20,WV20_ATTRIBUTES
USW00014765,1/1/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",0,",,0,",117,",,0",17,",,0",,,,,40,",,X",1212,",,X",,,1211,",,W",,,67,",,W",0,",,W",,,310,",,X",300,",,X",,,0,",,0",,,112,",,X",143,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,,,,,,,,,,,,,,
USW00014765,1/2/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,"T,,0,2400",0,"T,,0,",0,",,0,",67,",,0",-22,",,0",,,,,42,",,X",1937,",,X",,,316,",,W",,,22,",,W",,,,,190,",,X",10,",,X",,,0,",,0",,,63,",,X",80,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,1,",,0",,,,,,,,,,,,
USW00014765,1/3/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",79,",,0,2400",0,",,0,",0,",,0,",117,",,0",67,",,0",,,,,31,",,X",447,",,X",,,446,",,W",,,94,",,W",,,,,240,",,X",260,",,X",,,0,",,0",,,76,",,X",103,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,0",,,,,,,,,,,,,,,,
USW00014765,1/4/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",132,",,0,2400",0,",,0,",0,",,0,",72,",,0",39,",,0",,,,,31,",,X",546,",,X",,,921,",,W",,,56,",,W",,,,,20,",,X",10,",,X",,,0,",,0",,,72,",,X",94,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",1,",,X",,,1,",,0",,,,,,,,,,,,,,,,
USW00014765,1/5/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",13,",,0,2400",0,"T,,0,",0,",,0,",61,",,0",-22,",,0",,,,,35,",,X",1724,",,X",,,1724,",,W",,,22,",,W",,,,,30,",,X",30,",,X",,,0,",,0",,,76,",,X",80,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,0",,,1,",,0",,,,,,,,,,,,
USW00014765,1/6/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",147,",,0,2400",114,",,0,",76,",,0,",17,",,0",-39,",,0",,,,,39,",,X",610,",,X",,,610,",,W",,,-11,",,W",0,",,W",,,10,",,X",10,",,X",,,127,",,0",,,67,",,X",80,",,X",,,1,",,0",,,,,1,",,0",,,1,",,0",,,,,,,,,,,1,",,X",1,",,X",1,",,X",1,",,0",1,",,X",1,",,0",,,,,,,,,,,,
USW00014765,1/7/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,",,0,2400",0,",,0,",25,",,0,",28,",,0",-22,",,0",,,,,39,",,X",945,",,X",,,1000,",,W",,,6,",,W",,,,,310,",,X",310,",,X",,,0,",,0",,,107,",,X",143,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,,,,,,,,,,,,,,
USW00014765,1/8/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",203,",,0,2400",0,"T,,0,",0,"T,,0,",11,",,0",-17,",,0",,,,,27,",,X",2052,",,X",,,2050,",,W",,,0,",,W",,,,,360,",,X",360,",,X",,,0,",,0",,,76,",,X",98,",,X",,,1,",,0",,,,,1,",,0",,,,,,,,,,,,,,,1,",,X",1,",,X",,,1,",,0",,,1,",,0",,,,,,,,,,,,
USW00014765,1/9/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,"T,,0,2400",0,"T,,0,",0,"T,,0,",11,",,0",-22,",,0",,,,,27,",,X",2355,",,X",,,2354,",,W",,,-6,",,W",,,,,360,",,X",360,",,X",,,0,",,0",,,67,",,X",89,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,0",,,,,,,,,,,,
USW00014765,1/10/2005,41.72252,-71.43248,15.4,"PROVIDENCE, RI US",0,"T,,0,2400",0,"T,,0,",0,"T,,0,",61,",,0",-6,",,0",,,,,30,",,X",1343,",,X",,,1343,",,W",,,28,",,W",,,,,250,",,X",260,",,X",,,0,",,0",,,76,",,X",98,",,X",,,1,",,0",,,,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,1,",,0",,,,,,,,,,,,
